gene	reactome
P62888	Developmental Biology;Metabolism;L13a-mediated translational silencing of Ceruloplasmin expression;Eukaryotic Translation Elongation;Peptide chain elongation;Disease;Influenza Infection;Influenza Viral RNA Transcription and Replication;SRP-dependent cotranslational protein targeting to membrane;Viral mRNA Translation;Cellular responses to stress;Selenoamino acid metabolism;Selenocysteine synthesis;Signaling by ROBO receptors;Metabolism of proteins;Axon guidance;Infectious disease;Major pathway of rRNA processing in the nucleolus and cytosol;Metabolism of amino acids and derivatives;rRNA processing;Eukaryotic Translation Initiation;Formation of a pool of free 40S subunits;GTP hydrolysis and joining of the 60S ribosomal subunit;Cap-dependent Translation Initiation;Eukaryotic Translation Termination;Translation;rRNA processing in the nucleus and cytosol;Metabolism of RNA;Cellular responses to external stimuli;Regulation of expression of SLITs and ROBOs;Nonsense-Mediated Decay (NMD);Response of EIF2AK4 (GCN2) to amino acid deficiency;Nervous system development;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
P62891	Developmental Biology;Metabolism;L13a-mediated translational silencing of Ceruloplasmin expression;Eukaryotic Translation Elongation;Peptide chain elongation;Disease;Influenza Infection;Influenza Viral RNA Transcription and Replication;SRP-dependent cotranslational protein targeting to membrane;Viral mRNA Translation;Cellular responses to stress;Selenoamino acid metabolism;Selenocysteine synthesis;Signaling by ROBO receptors;Metabolism of proteins;Axon guidance;Infectious disease;Major pathway of rRNA processing in the nucleolus and cytosol;Metabolism of amino acids and derivatives;rRNA processing;Eukaryotic Translation Initiation;Formation of a pool of free 40S subunits;GTP hydrolysis and joining of the 60S ribosomal subunit;Cap-dependent Translation Initiation;Eukaryotic Translation Termination;Translation;rRNA processing in the nucleus and cytosol;Metabolism of RNA;Cellular responses to external stimuli;Regulation of expression of SLITs and ROBOs;Nonsense-Mediated Decay (NMD);Response of EIF2AK4 (GCN2) to amino acid deficiency;Nervous system development;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
P62899	Developmental Biology;Metabolism;L13a-mediated translational silencing of Ceruloplasmin expression;Eukaryotic Translation Elongation;Peptide chain elongation;Disease;Influenza Infection;Influenza Viral RNA Transcription and Replication;SRP-dependent cotranslational protein targeting to membrane;Viral mRNA Translation;Cellular responses to stress;Selenoamino acid metabolism;Selenocysteine synthesis;Signaling by ROBO receptors;Metabolism of proteins;Axon guidance;Infectious disease;Major pathway of rRNA processing in the nucleolus and cytosol;Metabolism of amino acids and derivatives;rRNA processing;Eukaryotic Translation Initiation;Formation of a pool of free 40S subunits;GTP hydrolysis and joining of the 60S ribosomal subunit;Cap-dependent Translation Initiation;Eukaryotic Translation Termination;Translation;rRNA processing in the nucleus and cytosol;Metabolism of RNA;Cellular responses to external stimuli;Regulation of expression of SLITs and ROBOs;Nonsense-Mediated Decay (NMD);Response of EIF2AK4 (GCN2) to amino acid deficiency;Nervous system development;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
P62906	Developmental Biology;Metabolism;L13a-mediated translational silencing of Ceruloplasmin expression;Eukaryotic Translation Elongation;Peptide chain elongation;Disease;Influenza Infection;Influenza Viral RNA Transcription and Replication;SRP-dependent cotranslational protein targeting to membrane;Viral mRNA Translation;Cellular responses to stress;Selenoamino acid metabolism;Selenocysteine synthesis;Signaling by ROBO receptors;Metabolism of proteins;Axon guidance;Infectious disease;Major pathway of rRNA processing in the nucleolus and cytosol;Metabolism of amino acids and derivatives;rRNA processing;Eukaryotic Translation Initiation;Formation of a pool of free 40S subunits;GTP hydrolysis and joining of the 60S ribosomal subunit;Cap-dependent Translation Initiation;Eukaryotic Translation Termination;Translation;rRNA processing in the nucleus and cytosol;Metabolism of RNA;Cellular responses to external stimuli;Regulation of expression of SLITs and ROBOs;Nonsense-Mediated Decay (NMD);Response of EIF2AK4 (GCN2) to amino acid deficiency;Nervous system development;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
P62910	Developmental Biology;Metabolism;L13a-mediated translational silencing of Ceruloplasmin expression;Eukaryotic Translation Elongation;Peptide chain elongation;Disease;Influenza Infection;Influenza Viral RNA Transcription and Replication;SRP-dependent cotranslational protein targeting to membrane;Viral mRNA Translation;Cellular responses to stress;Selenoamino acid metabolism;Selenocysteine synthesis;Signaling by ROBO receptors;Metabolism of proteins;Axon guidance;Infectious disease;Major pathway of rRNA processing in the nucleolus and cytosol;Metabolism of amino acids and derivatives;rRNA processing;Eukaryotic Translation Initiation;Formation of a pool of free 40S subunits;GTP hydrolysis and joining of the 60S ribosomal subunit;Cap-dependent Translation Initiation;Eukaryotic Translation Termination;Translation;rRNA processing in the nucleus and cytosol;Metabolism of RNA;Cellular responses to external stimuli;Regulation of expression of SLITs and ROBOs;Nonsense-Mediated Decay (NMD);Response of EIF2AK4 (GCN2) to amino acid deficiency;Nervous system development;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
P62913	Developmental Biology;Metabolism;L13a-mediated translational silencing of Ceruloplasmin expression;Eukaryotic Translation Elongation;Peptide chain elongation;Disease;Influenza Infection;Influenza Viral RNA Transcription and Replication;SRP-dependent cotranslational protein targeting to membrane;Viral mRNA Translation;Cellular responses to stress;Selenoamino acid metabolism;Selenocysteine synthesis;Signaling by ROBO receptors;Metabolism of proteins;Axon guidance;Infectious disease;Major pathway of rRNA processing in the nucleolus and cytosol;Metabolism of amino acids and derivatives;rRNA processing;Eukaryotic Translation Initiation;Formation of a pool of free 40S subunits;GTP hydrolysis and joining of the 60S ribosomal subunit;Cap-dependent Translation Initiation;Eukaryotic Translation Termination;Translation;rRNA processing in the nucleus and cytosol;Metabolism of RNA;Cellular responses to external stimuli;Regulation of expression of SLITs and ROBOs;Nonsense-Mediated Decay (NMD);Response of EIF2AK4 (GCN2) to amino acid deficiency;Nervous system development;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
P62917	Developmental Biology;Metabolism;L13a-mediated translational silencing of Ceruloplasmin expression;Eukaryotic Translation Elongation;Peptide chain elongation;Disease;Influenza Infection;Influenza Viral RNA Transcription and Replication;SRP-dependent cotranslational protein targeting to membrane;Viral mRNA Translation;Cellular responses to stress;Selenoamino acid metabolism;Selenocysteine synthesis;Signaling by ROBO receptors;Metabolism of proteins;Axon guidance;Infectious disease;Major pathway of rRNA processing in the nucleolus and cytosol;Metabolism of amino acids and derivatives;rRNA processing;Eukaryotic Translation Initiation;Formation of a pool of free 40S subunits;GTP hydrolysis and joining of the 60S ribosomal subunit;Cap-dependent Translation Initiation;Eukaryotic Translation Termination;Translation;rRNA processing in the nucleus and cytosol;Metabolism of RNA;Cellular responses to external stimuli;Regulation of expression of SLITs and ROBOs;Nonsense-Mediated Decay (NMD);Response of EIF2AK4 (GCN2) to amino acid deficiency;Nervous system development;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
P62937	Hemostasis;Platelet degranulation ;Downstream signaling events of B Cell Receptor (BCR);Cytokine Signaling in Immune system;Adaptive Immune System;Uncoating of the HIV Virion;HIV Life Cycle;Budding and maturation of HIV virion;Reverse Transcription of HIV RNA;Integration of provirus;Early Phase of HIV Life Cycle;Late Phase of HIV Life Cycle;HIV Infection;Host Interactions of HIV factors;Disease;Minus-strand DNA synthesis;Plus-strand DNA synthesis;Innate Immune System;Immune System;Binding and entry of HIV virion;Assembly Of The HIV Virion;APOBEC3G mediated resistance to HIV-1 infection;Calcineurin activates NFAT;Cell surface interactions at the vascular wall;Basigin interactions;Interleukin-12 family signaling;Signaling by Interleukins;Infectious disease;Neutrophil degranulation;Platelet activation, signaling and aggregation;Response to elevated platelet cytosolic Ca2+;Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation;Interleukin-12 signaling;Signaling by the B Cell Receptor (BCR)
P62942	Downstream signaling events of B Cell Receptor (BCR);Adaptive Immune System;Signal Transduction;Disease;Immune System;Signaling by TGF-beta Receptor Complex;Calcineurin activates NFAT;TGF-beta receptor signaling activates SMADs;TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition);Signaling by TGF-beta Receptor Complex in Cancer;Loss of Function of TGFBR1 in Cancer;TGFBR1 LBD Mutants in Cancer;Diseases of signal transduction by growth factor receptors and second messengers;Signaling by TGF-beta family members;Signaling by the B Cell Receptor (BCR)
P62945	Developmental Biology;Metabolism;L13a-mediated translational silencing of Ceruloplasmin expression;Eukaryotic Translation Elongation;Peptide chain elongation;Disease;Influenza Infection;Influenza Viral RNA Transcription and Replication;SRP-dependent cotranslational protein targeting to membrane;Viral mRNA Translation;Cellular responses to stress;Selenoamino acid metabolism;Selenocysteine synthesis;Signaling by ROBO receptors;Metabolism of proteins;Axon guidance;Infectious disease;Major pathway of rRNA processing in the nucleolus and cytosol;Metabolism of amino acids and derivatives;rRNA processing;Eukaryotic Translation Initiation;Formation of a pool of free 40S subunits;GTP hydrolysis and joining of the 60S ribosomal subunit;Cap-dependent Translation Initiation;Eukaryotic Translation Termination;Translation;rRNA processing in the nucleus and cytosol;Metabolism of RNA;Cellular responses to external stimuli;Regulation of expression of SLITs and ROBOs;Nonsense-Mediated Decay (NMD);Response of EIF2AK4 (GCN2) to amino acid deficiency;Nervous system development;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
P62955	Muscle contraction;Cardiac conduction;Phase 0 - rapid depolarisation;Phase 2 - plateau phase
P62979	Apoptosis;Translesion synthesis by REV1;Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template;Recognition of DNA damage by PCNA-containing replication complex;Translesion Synthesis by POLH;Downstream signaling events of B Cell Receptor (BCR);Activation of NF-kappaB in B cells;ISG15 antiviral mechanism;Antiviral mechanism by IFN-stimulated genes;Signaling by ERBB2;Cellular response to hypoxia;Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha;Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants;Signaling by ERBB4;ER-Phagosome pathway;Antigen processing-Cross presentation;Downregulation of ERBB4 signaling;PIP3 activates AKT signaling;Developmental Biology;Cytokine Signaling in Immune system;Adaptive Immune System;Spry regulation of FGF signaling;Downregulation of ERBB2:ERBB3 signaling;Metabolism;L13a-mediated translational silencing of Ceruloplasmin expression;Eukaryotic Translation Elongation;Peptide chain elongation;Signaling by NOTCH;Signal Transduction;HIV Life Cycle;Budding and maturation of HIV virion;Late Phase of HIV Life Cycle;HIV Infection;Host Interactions of HIV factors;Macroautophagy;Cell Cycle;Disease;Signaling by EGFR in Cancer;Toll Like Receptor 4 (TLR4) Cascade;MyD88:MAL(TIRAP) cascade initiated on plasma membrane;MyD88-independent TLR4 cascade ;Toll Like Receptor 9 (TLR9) Cascade;Toll Like Receptor 10 (TLR10) Cascade;Toll Like Receptor 3 (TLR3) Cascade;Toll Like Receptor 5 (TLR5) Cascade;Toll Like Receptor TLR1:TLR2 Cascade;Toll Like Receptor 7/8 (TLR7/8) Cascade;Toll Like Receptor TLR6:TLR2 Cascade;Innate Immune System;Influenza Infection;Immune System;Influenza Viral RNA Transcription and Replication;NOD1/2 Signaling Pathway;Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways;Toll-like Receptor Cascades;TICAM1, RIP1-mediated IKK complex recruitment;DDX58/IFIH1-mediated induction of interferon-alpha/beta;Regulation of Apoptosis;Signaling by TGF-beta Receptor Complex;APC/C:Cdc20 mediated degradation of Cyclin B;Autodegradation of Cdh1 by Cdh1:APC/C;SCF-beta-TrCP mediated degradation of Emi1;APC/C-mediated degradation of cell cycle proteins;APC/C:Cdc20 mediated degradation of Securin;APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1;Cdc20:Phospho-APC/C mediated degradation of Cyclin A;Membrane binding and targetting of GAG proteins;Synthesis And Processing Of GAG, GAGPOL Polyproteins;Assembly Of The HIV Virion;Regulation of APC/C activators between G1/S and early anaphase;APC/C:Cdc20 mediated degradation of mitotic proteins;Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins;Signaling by EGFR;APC-Cdc20 mediated degradation of Nek2A;APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint;SRP-dependent cotranslational protein targeting to membrane;Vpu mediated degradation of CD4;Vif-mediated degradation of APOBEC3G;Toll Like Receptor 2 (TLR2) Cascade;EGFR downregulation;Cytosolic sensors of pathogen-associated DNA ;SCF(Skp2)-mediated degradation of p27/p21;Signaling by FGFR;Viral mRNA Translation;p75NTR signals via NF-kB;p75 NTR receptor-mediated signalling;Degradation of beta-catenin by the destruction complex;Signaling by WNT;Signaling by NOTCH1;Signaling by NOTCH2;Membrane Trafficking;TCF dependent signaling in response to WNT;TCR signaling;Downstream TCR signaling;Cell death signalling via NRAGE, NRIF and NADE;NRIF signals cell death from the nucleus;p75NTR recruits signalling complexes;NF-kB is activated and signals survival;Regulation of activated PAK-2p34 by proteasome mediated degradation;NOTCH1 Intracellular Domain Regulates Transcription;Activated NOTCH1 Transmits Signal to the Nucleus;Generic Transcription Pathway;Downregulation of TGF-beta receptor signaling;TGF-beta receptor signaling activates SMADs;TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition);Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer;Downregulation of SMAD2/3:SMAD4 transcriptional activity;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription;Cellular responses to stress;Selenoamino acid metabolism;Selenocysteine synthesis;Fc epsilon receptor (FCERI) signaling;Separation of Sister Chromatids;Mitotic Metaphase and Anaphase;Oxidative Stress Induced Senescence;Senescence-Associated Secretory Phenotype (SASP);Cellular Senescence;Oncogene Induced Senescence;Regulation of PLK1 Activity at G2/M Transition;Signaling by NOTCH1 PEST Domain Mutants in Cancer;Signaling by NOTCH1 in Cancer;Constitutive Signaling by NOTCH1 PEST Domain Mutants;Stimuli-sensing channels;Signaling by NOTCH1 HD Domain Mutants in Cancer;Constitutive Signaling by NOTCH1 HD Domain Mutants;FCERI mediated NF-kB activation;Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer;Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants;NOTCH2 Activation and Transmission of Signal to the Nucleus;Regulation of innate immune responses to cytosolic DNA;Glycogen storage diseases;Glycogen synthesis;Autodegradation of the E3 ubiquitin ligase COP1;Transcriptional Regulation by TP53;Signaling by ROBO receptors;Deactivation of the beta-catenin transactivating complex;Myoclonic epilepsy of Lafora;Transport of small molecules;ABC-family proteins mediated transport;Beta-catenin independent WNT signaling;Metabolism of proteins;Circadian Clock;PCP/CE pathway;Axon guidance;TAK1 activates NFkB by phosphorylation and activation of IKKs complex;Asparagine N-linked glycosylation;Interleukin-1 family signaling;Interleukin-17 signaling;Signaling by Interleukins;MAP kinase activation;activated TAK1 mediates p38 MAPK activation;JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1;AUF1 (hnRNP D0) binds and destabilizes mRNA;Regulation of mRNA stability by proteins that bind AU-rich elements;Mitotic G2-G2/M phases;Regulation of mitotic cell cycle;Mitotic G1 phase and G1/S transition;Asymmetric localization of PCP proteins;Degradation of AXIN;Degradation of DVL;Regulation of FZD by ubiquitination;Interleukin-3, Interleukin-5 and GM-CSF signaling;Mitophagy;Pink/Parkin Mediated Mitophagy;RIPK1-mediated regulated necrosis;Regulated Necrosis;N-glycan trimming in the ER and Calnexin/Calreticulin cycle;Programmed Cell Death;Regulation of TNFR1 signaling;TNFR1-induced NFkappaB signaling pathway;Hedgehog ligand biogenesis;Signaling by Hedgehog;Hh mutants that don't undergo autocatalytic processing are degraded by ERAD;Hh mutants abrogate ligand secretion;Dectin-1 mediated noncanonical NF-kB signaling;CLEC7A (Dectin-1) signaling;Degradation of GLI1 by the proteasome;Degradation of GLI2 by the proteasome;GLI3 is processed to GLI3R by the proteasome;Hedgehog 'off' state;ABC transporter disorders;Disorders of transmembrane transporters;C-type lectin receptors (CLRs);Hedgehog 'on' state;Regulation of TP53 Activity;Signaling by Ligand-Responsive EGFR Variants in Cancer;Vesicle-mediated transport;Negative regulation of FGFR1 signaling;Negative regulation of FGFR2 signaling;Negative regulation of FGFR3 signaling;Negative regulation of FGFR4 signaling;Signaling by FGFR1;Signaling by FGFR2;Signaling by FGFR3;Signaling by FGFR4;Translesion synthesis by POLK;Translesion synthesis by POLI;Termination of translesion DNA synthesis;Regulation of RAS by GAPs;Diseases of carbohydrate metabolism;Diseases of signal transduction by growth factor receptors and second messengers;Infectious disease;TNFR2 non-canonical NF-kB pathway;Diseases of metabolism;RAF/MAP kinase cascade;Negative regulation of MAPK pathway;Regulation of necroptotic cell death;NIK-->noncanonical NF-kB signaling;Defective CFTR causes cystic fibrosis;MAPK family signaling cascades;MAP3K8 (TPL2)-dependent MAPK1/3 activation;MAPK1/MAPK3 signaling;HDR through Homologous Recombination (HRR);MAPK6/MAPK4 signaling;Deubiquitination;UCH proteinases;Josephin domain DUBs;Ub-specific processing proteases;Ovarian tumor domain proteases;Metalloprotease DUBs;DNA Double-Strand Break Repair;Homology Directed Repair;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks;HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA);DNA Double Strand Break Response;Processing of DNA double-strand break ends;DNA Damage Recognition in GG-NER;Formation of Incision Complex in GG-NER;Gap-filling DNA repair synthesis and ligation in GG-NER;Nucleotide Excision Repair;Global Genome Nucleotide Excision Repair (GG-NER);Dual Incision in GG-NER;Post-translational protein modification;Formation of TC-NER Pre-Incision Complex;Transcription-Coupled Nucleotide Excision Repair (TC-NER);Dual incision in TC-NER;Gap-filling DNA repair synthesis and ligation in TC-NER;Fanconi Anemia Pathway;Major pathway of rRNA processing in the nucleolus and cytosol;Regulation of TP53 Activity through Phosphorylation;Regulation of TP53 Degradation;Regulation of TP53 Activity through Methylation;Regulation of TP53 Expression and Degradation;Signaling by MET;Negative regulation of MET activity;PTEN Regulation;CDT1 association with the CDC6:ORC:origin complex;Assembly of the pre-replicative complex;Mitotic Anaphase;M Phase;Orc1 removal from chromatin;DNA Replication Pre-Initiation;CDK-mediated phosphorylation and removal of Cdc6;Switching of origins to a post-replicative state;Cyclin E associated events during G1/S transition ;G1/S Transition;Cyclin D associated events in G1;G1 Phase;Synthesis of DNA;S Phase;G2/M Transition;Cell Cycle, Mitotic;DNA Replication;G2/M Checkpoints;Stabilization of p53;p53-Dependent G1 DNA Damage Response;p53-Dependent G1/S DNA damage checkpoint;Ubiquitin Mediated Degradation of Phosphorylated Cdc25A;p53-Independent DNA Damage Response;p53-Independent G1/S DNA damage checkpoint;G1/S DNA Damage Checkpoints;Cell Cycle Checkpoints;Cyclin A:Cdk2-associated events at S phase entry;Metabolism of amino acids and derivatives;Metabolism of carbohydrates;rRNA processing;Eukaryotic Translation Initiation;Translation initiation complex formation;Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S;Formation of a pool of free 40S subunits;Formation of the ternary complex, and subsequently, the 43S complex;Ribosomal scanning and start codon recognition;GTP hydrolysis and joining of the 60S ribosomal subunit;Cap-dependent Translation Initiation;Eukaryotic Translation Termination;Translation;RNA Polymerase II Transcription;Death Receptor Signalling;DNA Damage Bypass;DNA Repair;Gene expression (Transcription);Ubiquitin-dependent degradation of Cyclin D;TNF signaling;Signaling by PTK6;PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1;Protein ubiquitination;The role of GTSE1 in G2/M progression after G2 checkpoint;FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;Cargo recognition for clathrin-mediated endocytosis;Clathrin-mediated endocytosis;Downregulation of ERBB2 signaling;Synthesis of active ubiquitin: roles of E1 and E2 enzymes;E3 ubiquitin ligases ubiquitinate target proteins;rRNA processing in the nucleus and cytosol;InlB-mediated entry of Listeria monocytogenes into host cell;Listeria monocytogenes entry into host cells;InlA-mediated entry of Listeria monocytogenes into host cells;Transcriptional regulation by RUNX3;Transcriptional regulation by RUNX2;Transcriptional regulation by RUNX1;RUNX1 regulates transcription of genes involved in differentiation of HSCs;Regulation of RUNX2 expression and activity;Regulation of RUNX3 expression and activity;Regulation of PTEN localization;Regulation of PTEN stability and activity;Neddylation;Metabolism of RNA;Cellular responses to external stimuli;Glycogen metabolism;Intracellular signaling by second messengers;Signaling by Non-Receptor Tyrosine Kinases;Signaling by Receptor Tyrosine Kinases;Signaling by TGF-beta family members;ER Quality Control Compartment (ERQC);Calnexin/calreticulin cycle;Regulation of expression of SLITs and ROBOs;Signaling by NOTCH3;NOTCH3 Activation and Transmission of Signal to the Nucleus;Signaling by NOTCH4;TICAM1-dependent activation of IRF3/IRF7;TICAM1,TRAF6-dependent induction of TAK1 complex;Interleukin-1 signaling;Peroxisomal protein import;Regulation of signaling by CBL;Interferon Signaling;Endosomal Sorting Complex Required For Transport (ESCRT);Iron uptake and transport;Nonsense-Mediated Decay (NMD);Negative regulators of DDX58/IFIH1 signaling;Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon;IRAK1 recruits IKK complex;IKK complex recruitment mediated by RIP1;IRAK2 mediated activation of TAK1 complex;TRIF(TICAM1)-mediated TLR4 signaling ;TRAF6-mediated induction of TAK1 complex within TLR4 complex;Negative regulation of NOTCH4 signaling;FLT3 Signaling;Protein localization;Autophagy;Chaperone Mediated Autophagy;Late endosomal microautophagy;Response of EIF2AK4 (GCN2) to amino acid deficiency;Infection with Mycobacterium tuberculosis;Prevention of phagosomal-lysosomal fusion;Modulation by Mtb of host immune system;Suppression of phagosomal maturation;Response of Mtb to phagocytosis;Alpha-protein kinase 1 signaling pathway;Aggrephagy;Selective autophagy;Pexophagy;Nervous system development;TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling;TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation;IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation;MyD88 dependent cascade initiated on endosome;IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation;MyD88 cascade initiated on plasma membrane;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC);Amyloid fiber formation;Antigen processing: Ubiquitination & Proteasome degradation;Class I MHC mediated antigen processing & presentation;Signaling by the B Cell Receptor (BCR);Ion channel transport
